cert,docket,rssdhcr,fed_rssd,hctmult,name,city,stalp,zip,repdte,bkclass,nimy,roa,ntlnlsr,rbc1aaj,rbcrwaj
58281,0,0,3388482,0,American Riviera Bank,Santa Barbara,CA,93101,12/31/2016,NM,5.45832849081212,1.03089232342162,-4.90285303146467E-02,9.74646854274643,12.5194568898425
58282,0,3346624,3346633,0,Eagle Bank,Polson,MT,59860,12/31/2016,NM,3.90590142478955,0.756806962624056,0.104147862191549,9.13687011475137,16.0603757194049
58289,0,3923539,3445901,0,River City Bank,Rome,GA,30165,12/31/2016,NM,3.67352812896044,0.410275872899545,0.366556317941786,8.69675006483491,12.4068302532812
58291,0,4907219,3545258,0,San Diego Private Bank,Coronado,CA,92118,12/31/2016,NM,4.21759003274233,0.961616867130494,-1.14132569129319E-02,11.4696975011985,13.662382734125
58292,0,3404524,3392975,0,Freedom Bank,Overland Park,KS,66223,12/31/2016,NM,3.48233855983729,0.857232566543641,0.393892533548197,10.7062454077884,15.8930557630692
58294,0,0,3470864,0,First Covenant Bank,Commerce,GA,30529,12/31/2016,NM,3.04933159767506,0.362995557525299,4.65686654972757E-02,7.78078412080508,20.2156193849119
58296,0,4566232,3446636,0,Aquesta Bank,Cornelius,NC,28031,12/31/2016,NM,3.72439289656516,0.788764508235548,7.60927993962415E-02,8.24774220209551,11.6622950088795
58297,0,0,3455227,0,Pinnacle Bank,Gilroy,CA,95020,12/31/2016,NM,4.22398855764919,0.905244239455118,-0.1936774952433,9.03373530758663,10.7904692326054
58300,0,3446430,3446225,0,Table Rock Community Bank,Kimberling City,MO,65686,12/31/2016,NM,4.73879954439849,0.758182875280881,7.36420407682338E-02,8.3101499808351,11.6991164281805
58302,0,3485541,3445769,0,First NBC Bank,New Orleans,LA,70112,12/31/2016,NM,3.27916093406359,-0.405923077265153,0.27812306359481,4.45007024552891,5.96524465028059
58303,18013,0,3470239,0,Ameriprise National Trust Bank,Minneapolis,MN,55402,12/31/2016,N,1.33716080278718,10.586061971212,,85.0527527335507,316.158014831717
58305,0,0,3447875,0,Plaza Bank,Seattle,WA,98101,12/31/2016,NM,3.93532941986685,0.940129357220537,0.181290152248526,11.9000491331508,14.6718695693387
58307,0,4894588,3466988,0,The First Bank of Greenwich,Cos Cob,CT,6807,12/31/2016,NM,3.55334205319113,0.655890662132596,0.173353910911083,8.62948078094988,12.5196659808786
58309,0,3447567,3447576,0,American Momentum Bank,College Station,TX,77845,12/31/2016,NM,4.1761028090913,1.06732508072244,5.29727736627712E-02,17.4154822184518,19.4513293003563
58310,0,0,3470154,0,US Metro Bank,Garden Grove,CA,92844,12/31/2016,NM,3.55870094197945,1.56320565548055,-0.366500812381985,14.1290111329404,18.4961266999484
